# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-a" "Caulerpa_racemosa_v2.gtf" "-G" "/bigdata/stajichlab/shared/projects/Caulerpa/annotation/filtered_annotate/v2/v2/Caulerpa_racemosa_v2.scaffolds.fa" "-T" "16" "-o" "results/STAR/Caulerpa_racemosa_v2.featureCounts.tsv" "-g" "gene_id" "-J" "-F" "GTF" "results/STAR/Caulerpa_racemosa_v2.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/STAR/Caulerpa_racemosa_v2.Aligned.sortedByCoord.out.bam
CRAC_006660-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	315137;315257;315431;315853;316039;316554;316766;318577;319597;319890	315210;315384;315800;315997;316502;316719;318424;319524;319847;320018	+;+;+;+;+;+;+;+;+;+	4334	0
CRAC_006661-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	321763;321965;322116;322270;322420;322571;322722;322873;323024;323175;323326;323467	321921;322063;322214;322368;322518;322669;322820;322971;323122;323273;323424;323565	-;-;-;-;-;-;-;-;-;-;-;-	1248	0
CRAC_006662-T1	scaffold_14	325520	326145	+	626	0
CRAC_006663-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	326169;326350;326508;326858;327110	326309;326452;326815;327054;327155	-;-;-;-;-	795	0
CRAC_006664-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	327263;327414;327549;327993	327368;327505;327740;328718	-;-;-;-	1116	0
CRAC_006665-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	329066;330517;330827;331230;332169	330474;330766;331185;332116;332323	-;-;-;-;-	3060	0
CRAC_006666-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	332929;334958;335367;336322;336479	334910;335325;336274;336414;339760	-;-;-;-;-	6633	0
CRAC_006667-T1	scaffold_14	337245	339356	+	2112	0
CRAC_006668-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	339588;339757;340066;340841;341922;342375;342549;342741;343202;343583;343871;344223;344444	339710;340014;340798;341850;342329;342497;342681;343190;343535;343829;344167;344392;344807	-;-;-;-;-;-;-;-;-;-;-;-;-	4650	0
CRAC_006669-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	344821;345043;345437;345671;345821;346013	344995;345382;345623;345780;345969;346215	-;-;-;-;-;-	1164	0
CRAC_006670-T1	scaffold_14;scaffold_14	346654;346733	346693;347670	+;+	978	0
CRAC_006671-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	347951;348019;348167;348308;348447;348587;348728;348868;349008;349148;349288;349429;349570	347977;348117;348265;348406;348545;348685;348826;348966;349106;349246;349386;349527;349929	-;-;-;-;-;-;-;-;-;-;-;-;-	1476	0
CRAC_006672-T1	scaffold_14;scaffold_14	349755;350941	350885;350965	-;-	1156	0
CRAC_006673-T1	scaffold_14	351186	353298	+	2113	2
CRAC_006674-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	353507;353628;353770;353909;354051;354189;354329;354470	353587;353726;353868;354007;354149;354287;354427;355202	-;-;-;-;-;-;-;-	1408	0
CRAC_006674-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	353507;353770;353909;354051;354189;354329;354470	353726;353868;354007;354149;354287;354427;355202	-;-;-;-;-;-;-	1448	0
CRAC_006675-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	355773;356958;357100;357241;357383;357525;357666;357806;357948	356908;357056;357198;357339;357481;357623;357764;357904;359354	-;-;-;-;-;-;-;-;-	3236	0
CRAC_006675-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	355773;356958;357100;357241;357383;357525;357666;357806;357948;359214	356908;357056;357198;357339;357481;357623;357764;357904;359159;359342	-;-;-;-;-;-;-;-;-;-	3170	0
CRAC_006676-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	360212;360908;361052;361191;361335;361478;361622;361766;361907;362047;362189;362330;362470;362611;362751;362901	360858;361006;361150;361289;361433;361576;361720;361864;362005;362145;362287;362428;362568;362709;362849;364037	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3170	0
CRAC_006677-T1	scaffold_14;scaffold_14	364253;364409	364369;366407	+;+	2116	0
CRAC_006677-T2	scaffold_14	364253	366386	+	2134	0
CRAC_006678-T1	scaffold_14;scaffold_14;scaffold_14	366648;366826;366975	366784;366931;368050	+;+;+	1319	0
CRAC_006679-T1	scaffold_14;scaffold_14	368044;368839	368797;369220	-;-	1136	0
CRAC_006680-T1	scaffold_14	369242	371216	+	1975	0
CRAC_006681-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	371757;372747;372937;373077;373220;373360;373501;373642;373783;373931;374077	372610;372885;373035;373175;373318;373458;373599;373740;373881;374029;374103	+;+;+;+;+;+;+;+;+;+;+	1812	0
CRAC_006682-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	375528;375801;375939;376166;376473;376708;376899;377345	375749;375890;376112;376426;376647;376859;377292;377415	-;-;-;-;-;-;-;-	1539	0
CRAC_006684-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	377992;379991;380096;380278;380445	379948;380050;380235;380399;380563	-;-;-;-;-	2398	0
CRAC_006683-T1	scaffold_14;scaffold_14	377992;378435	378392;378908	+;+	875	0
CRAC_006685-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	381406;381525;381674;381839	381478;381624;381794;382024	-;-;-;-	480	0
CRAC_006686-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	381672;382186;382559;382747;382923	382143;382478;382705;382880;383304	+;+;+;+;+	1428	0
CRAC_006687-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	383651;384338;384562;384800;384960;385654	384292;384515;384756;384909;385614;386501	+;+;+;+;+;+	2628	0
CRAC_006688-T1	scaffold_14;scaffold_14	385984;386333	386286;386437	-;-	408	0
CRAC_006689-T1	scaffold_14;scaffold_14	386538;386790	386744;387669	+;+	1087	0
CRAC_006690-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	387603;387809;388019;388271;388440;388687;388943;389343;389545	387761;387973;388227;388389;388630;388893;389299;389504;389735	-;-;-;-;-;-;-;-;-	1760	0
CRAC_006690-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	387603;387809;388019;388271;388440;388687;388943;389545	387761;387973;388227;388389;388630;388893;389504;389735	-;-;-;-;-;-;-;-	1803	0
CRAC_006691-T1	scaffold_14;scaffold_14	389909;390211	390155;390824	+;+	861	0
CRAC_006692-T1	scaffold_14;scaffold_14	390836;391883	391839;392170	-;-	1292	0
CRAC_006695-T1	scaffold_14	393442	394536	-	1095	0
CRAC_006696-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	394568;394748;394900;395084	394702;394849;395034;396133	+;+;+;+	1422	0
CRAC_006697-T1	scaffold_14	395274	396113	-	840	0
CRAC_006698-T1	scaffold_14;scaffold_14;scaffold_14	396153;396471;396742	396431;396692;397354	+;+;+	1114	0
CRAC_006699-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	397381;397537;397701;397886;397988	397491;397658;397840;397945;399052	+;+;+;+;+	1498	0
CRAC_006700-T1	scaffold_14;scaffold_14	398983;399544	399501;399911	-;-	887	0
CRAC_006701-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	400526;400649;401082;401294;401515;402052;402192	400596;401042;401233;401468;402003;402141;402413	+;+;+;+;+;+;+	1593	0
CRAC_006702-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	403419;403609;403751;403892;404039;404171;404312;404455;404596	403559;403707;403849;403987;404128;404269;404410;404553;405828	-;-;-;-;-;-;-;-;-	2055	0
CRAC_006703-T1	scaffold_14;scaffold_14	406630;406819	406777;408402	+;+	1732	0
CRAC_006704-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	408455;408557;408715;409004;409101;409220;409366;409541;409726;409924;410093;410267;410514;410897;411170	408516;408668;408956;409058;409177;409313;409494;409686;409880;410048;410216;410467;410843;411124;411279	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2190	0
CRAC_006705-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	414205;414774;415049;415871	414729;415004;415827;416149	-;-;-;-	1814	1
CRAC_006706-T1	scaffold_14;scaffold_14;scaffold_14	416259;416904;417045	416861;417002;418192	-;-;-	1850	28
CRAC_006707-T1	scaffold_14;scaffold_14	419533;419710	419667;419967	+;+	393	0
CRAC_006708-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	420054;420186;420318;420446;420649;420909;421139	420142;420279;420401;420606;420863;421095;421433	+;+;+;+;+;+;+	1125	0
CRAC_006709-T1	scaffold_14	422228	422941	+	714	0
CRAC_006710-T1	scaffold_14;scaffold_14	423447;423780	423733;424521	+;+	1029	78
CRAC_006711-T1	scaffold_14;scaffold_14	424622;424936	424892;428153	+;+	3489	0
CRAC_006711-T2	scaffold_14	424622	427704	+	3083	0
CRAC_006712-T1	scaffold_14	427732	428076	-	345	0
CRAC_006713-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	428271;428396;428489;428666;429311;429571;429779;430032	428354;428447;428619;429264;429413;429725;429986;430139	+;+;+;+;+;+;+;+	1440	0
CRAC_006714-T1	scaffold_14;scaffold_14	431227;431998	431949;432381	-;-	1107	0
CRAC_006715-T1	scaffold_14;scaffold_14	432606;432832	432785;433113	-;-	462	0
CRAC_006716-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	433478;433563;433963;434246;434680;434837;435377;436041	433516;433917;434198;434626;434787;435330;435533;436100	-;-;-;-;-;-;-;-	1830	0
CRAC_006717-T1	scaffold_14	437854	438165	+	312	0
CRAC_006718-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	438866;438977;439084;439452;439629	438934;439048;439388;439581;439742	+;+;+;+;+	690	0
CRAC_006719-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	440322;440653;441153;441717	440608;441107;441675;443533	+;+;+;+	3082	0
CRAC_006720-T1	scaffold_14;scaffold_14	442143;443653	443531;443658	-;-	1395	0
CRAC_006721-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	443672;443750;443821;443952	443697;443769;443903;444056	+;+;+;+	234	0
CRAC_006723-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	460037;463544;463958;464057	463382;463914;464009;464273	-;-;-;-	3986	0
CRAC_006722-T1	scaffold_14	460042	461121	+	1080	0
CRAC_006724-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	464251;464720;464869;465060;465196;465490;466031;466185;466360;466653	464673;464824;465009;465155;465445;465987;466135;466309;466612;466831	-;-;-;-;-;-;-;-;-;-	2175	0
CRAC_006725-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	466765;466834;467030;467278;467538;467773;467962	466788;466985;467225;467496;467725;467918;469116	+;+;+;+;+;+;+	2080	0
CRAC_006726-T1	scaffold_14;scaffold_14	468470;468686	468670;469054	-;-	570	0
CRAC_006727-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	469135;469266;469439;469804;470501;470720;470965;471134;471630;471843	469220;469398;469760;470459;470629;470922;471088;471578;471796;471968	+;+;+;+;+;+;+;+;+;+	2391	2
CRAC_006728-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	471954;473133;473806;473906	473087;473760;473861;474973	-;-;-;-	2886	0
CRAC_006729-T1	scaffold_14	475057	475662	+	606	0
CRAC_006732-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	478833;479003;479136;479238;479628	478961;479092;479192;479579;479750	+;+;+;+;+	741	0
CRAC_006734-T1	scaffold_14;scaffold_14;scaffold_14	481882;482188;482393	482136;482348;482507	-;-;-	531	0
CRAC_006735-T1	scaffold_14	482760	483668	-	909	0
CRAC_006736-T1	scaffold_14	483680	485562	+	1883	0
CRAC_006737-T1	scaffold_14;scaffold_14	485584;485830	485781;486219	+;+	588	0
CRAC_006738-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	486296;487190;487716;488020	487145;487671;487998;488030	-;-;-;-	1626	0
CRAC_006739-T1	scaffold_14	488050	489457	+	1408	0
CRAC_006740-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	489625;490990;493977;494859	490946;493926;494812;497446	+;+;+;+	7683	0
CRAC_006741-T1	scaffold_14	495510	497198	-	1689	0
CRAC_006742-T1	scaffold_14;scaffold_14	497997;498219	498170;498707	+;+	663	0
CRAC_006743-T1	scaffold_14;scaffold_14;scaffold_14	500385;500539;500804	500489;500750;501161	+;+;+	675	9
CRAC_006744-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	502229;502417;502580;502720;502926;503172	502368;502532;502677;502881;503129;503354	+;+;+;+;+;+	903	0
CRAC_006745-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	503449;503718;504003;504631;504885;505435;505720;505966;506195;506445;506755;507080;507384;507700;508218	503665;503961;504578;504820;505362;505674;505918;506115;506346;506703;507041;507330;507658;507920;508243	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3765	0
CRAC_006746-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	508451;508622;508781;509764	508555;508732;509722;509955	+;+;+;+	1350	0
CRAC_006747-T1	scaffold_14;scaffold_14;scaffold_14	510121;510229;510517	510189;510319;510878	+;+;+	522	0
CRAC_006593-T1	scaffold_14	511024	511095	-	72	0
CRAC_006749-T1	scaffold_14;scaffold_14;scaffold_14	511223;511394;511743	511351;511694;511900	-;-;-	588	0
CRAC_006750-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	511965;512402;512586;512721;513121;513526;513643;513875	512361;512537;512670;513080;513483;513600;513831;513910	-;-;-;-;-;-;-;-	1641	0
CRAC_006751-T1	scaffold_14;scaffold_14;scaffold_14	514120;514230;514502	514186;514452;516299	+;+;+	2088	0
CRAC_006752-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	516907;517547;517897;518118;518256	517498;517851;518076;518210;518327	-;-;-;-;-	1242	0
CRAC_006753-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	518405;518653;518924;519041	518608;518883;518991;519149	+;+;+;+	612	0
CRAC_006754-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	519314;519469;519751;519880;520016	519419;519701;519828;519960;520330	-;-;-;-;-	813	0
CRAC_006755-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	521239;522305;524786;524984;525219	522260;524742;524942;525172;525267	-;-;-;-;-	3855	0
CRAC_006756-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	525635;525850;526067;526289;526522;526711;526854	525804;526020;526245;526478;526665;526804;526886	-;-;-;-;-;-;-	981	0
CRAC_006757-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	527355;527598;527715;527871;528022;531694;531932;532117;532198	527549;527675;527824;527972;531647;531886;532054;532150;532290	-;-;-;-;-;-;-;-;-	4554	0
CRAC_006759-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	532662;534163;534415;535098;535333;535504;535747	534107;534372;535059;535279;535457;535705;536000	-;-;-;-;-;-;-	3064	0
CRAC_006758-T1	scaffold_14;scaffold_14	532689;533688	533646;533761	+;+	1032	0
CRAC_006760-T1	scaffold_14	536062	536978	+	917	0
CRAC_006761-T1	scaffold_14;scaffold_14;scaffold_14	538203;538436;540112	538394;540059;540261	+;+;+	1966	0
CRAC_006762-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	540659;541131;541351;541738	541075;541288;541682;542471	+;+;+;+	1641	0
CRAC_006763-T1	scaffold_14;scaffold_14;scaffold_14	542555;542753;542877	542708;542834;543051	+;+;+	411	0
CRAC_006764-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	543229;543633;543788;544738;544981	543583;543750;544688;544938;545538	+;+;+;+;+	2133	0
CRAC_006765-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	545658;545869;545990;546437;546718	545815;545943;546388;546657;547210	+;+;+;+;+	1346	0
CRAC_006766-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	547208;547424;547633;548094;548222;548439;548669;548972	547376;547590;548050;548177;548389;548621;548926;549787	+;+;+;+;+;+;+;+	2263	0
CRAC_006767-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	549576;549772;549968;550629;550773;550918;551155;551316	549729;549924;550578;550727;550871;551115;551273;551886	-;-;-;-;-;-;-;-	2004	0
CRAC_006768-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	551831;552085;552189;552381	552041;552141;552331;552991	+;+;+;+	1022	0
CRAC_006769-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	553027;553251;553351;553439;553594	553203;553303;553398;553543;553729	+;+;+;+;+	519	0
CRAC_006770-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	553439;553841;553939;554116;554270;554467;554604	553798;553894;554071;554218;554425;554554;554678	-;-;-;-;-;-;-	969	0
CRAC_006770-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	553439;553841;554116;554270;554467;554604	553798;554071;554218;554425;554554;554678	-;-;-;-;-;-	1013	0
CRAC_006771-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	554827;554956;555095;555196	554903;555052;555153;555292	+;+;+;+	330	0
CRAC_006772-T1	scaffold_14;scaffold_14;scaffold_14	555212;555647;555893	555601;555851;556101	-;-;-	804	0
CRAC_006773-T1	scaffold_14;scaffold_14	556106;556823	556774;557976	-;-	1823	0
CRAC_006774-T1	scaffold_14	557966	559437	+	1472	0
CRAC_006775-T1	scaffold_14;scaffold_14;scaffold_14	559589;559920;560148	559850;560069;561758	+;+;+	2023	0
CRAC_006776-T1	scaffold_14;scaffold_14;scaffold_14	561758;562055;562170	562007;562130;562709	-;-;-	866	0
CRAC_006776-T2	scaffold_14;scaffold_14	561758;562170	562130;562709	-;-	913	0
CRAC_006777-T1	scaffold_14;scaffold_14;scaffold_14	562704;563006;563230	562952;563136;563401	-;-;-	552	12
CRAC_006778-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	563444;563794;564873;564987	563746;564831;564938;565302	-;-;-;-	1723	0
CRAC_006779-T1	scaffold_14	565426	566151	-	726	0
CRAC_006780-T1	scaffold_14;scaffold_14	566460;569588	569542;570152	+;+	3648	0
CRAC_006781-T1	scaffold_14	570196	570699	+	504	0
CRAC_006782-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	570838;571202;571375;571594;571999	571158;571333;571550;571956;572416	-;-;-;-;-	1410	0
CRAC_006783-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	572435;572540;572721;572824;573039;573388;574689;574934;575075;575241;575443	572488;572677;572783;572999;573345;574620;574880;575026;575196;575396;575746	+;+;+;+;+;+;+;+;+;+;+	2838	0
CRAC_006784-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	576293;576591;577206;577413;577599;577800	576550;577157;577364;577550;577751;577853	-;-;-;-;-;-	1329	2
CRAC_006785-T1	scaffold_14;scaffold_14	579063;579236	579194;580369	-;-	1266	0
CRAC_006786-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	580385;580570;580933;581129;581376	580523;580890;581083;581335;582857	+;+;+;+;+	2300	0
CRAC_006787-T1	scaffold_14;scaffold_14;scaffold_14	582257;582565;582759	582520;582704;582774	-;-;-	420	0
CRAC_006788-T1	scaffold_14;scaffold_14	583115;583643	583604;585267	+;+	2115	0
CRAC_006789-T1	scaffold_14;scaffold_14;scaffold_14	585518;585661;585735	585528;585685;586280	+;+;+	582	0
CRAC_006790-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	586537;587121;587413;587583	587077;587372;587542;587794	-;-;-;-	1135	0
CRAC_006791-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	588458;589675;589909;591420;591570;591722	589626;589861;591372;591518;591627;591726	-;-;-;-;-;-	2982	10
CRAC_006792-T1	scaffold_14;scaffold_14	593374;594275	594225;594603	-;-	1181	0
CRAC_006793-T1	scaffold_14;scaffold_14	595306;595892	595845;596062	-;-	711	0
CRAC_006794-T1	scaffold_14;scaffold_14	597517;597667	597623;597970	-;-	411	0
CRAC_006795-T1	scaffold_14;scaffold_14;scaffold_14	598143;598399;598738	598360;598700;598949	+;+;+	732	0
CRAC_006796-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	599006;599719;599881;600054;600198;600658;600813;601184;601391;601518;601759;601981;603483	599674;599837;600006;600151;600617;600771;600993;601341;601474;601708;601873;603443;603618	-;-;-;-;-;-;-;-;-;-;-;-;-	3874	0
CRAC_006797-T1	scaffold_14;scaffold_14	603705;604240	604188;604906	-;-	1151	0
CRAC_006798-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	604862;605293;605753;605939;606114;606209;606385;606516	605247;605704;605896;606073;606166;606330;606473;606774	-;-;-;-;-;-;-;-	1600	0
CRAC_006799-T1	scaffold_14;scaffold_14	606775;607021	606975;607322	+;+	503	0
CRAC_006800-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	607351;607663;607881;608301;608483;608690;608877;609061;609268	607618;607842;608255;608436;608652;608820;609002;609217;609392	+;+;+;+;+;+;+;+;+	1668	0
CRAC_006801-T1	scaffold_14;scaffold_14	609144;609661	609606;609889	+;+	692	0
CRAC_006802-T1	scaffold_14;scaffold_14	609991;611020	610970;611497	-;-	1458	0
CRAC_006803-T1	scaffold_14	611503	615830	-	4328	0
CRAC_006805-T1	scaffold_14;scaffold_14;scaffold_14	617322;617591;618780	617552;618729;619460	-;-;-	2051	0
CRAC_006804-T1	scaffold_14;scaffold_14;scaffold_14	617530;617617;617899	617571;617754;618033	+;+;+	315	0
CRAC_006651-T1	scaffold_14	619725	619797	+	73	0
CRAC_006807-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	619821;620676;620894;621053	620633;620853;621002;621177	-;-;-;-	1225	0
CRAC_006653-T1	scaffold_14	621288	621358	+	71	0
CRAC_006810-T1	scaffold_14;scaffold_14;scaffold_14	621405;622693;622909	622561;622856;623010	-;-;-	1423	0
CRAC_006809-T1	scaffold_14;scaffold_14	621405;621514	621472;622568	+;+	1123	0
CRAC_006811-T1	scaffold_14;scaffold_14	622686;622800	622756;624308	+;+	1580	0
CRAC_006812-T1	scaffold_14	625314	628202	-	2889	0
CRAC_006813-T1	scaffold_14	628591	630642	-	2052	0
CRAC_006814-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	631051;631167;631279;631537;631754;631976	631121;631222;631490;631689;631929;632303	+;+;+;+;+;+	996	62
CRAC_006816-T1	scaffold_14;scaffold_14;scaffold_14	632356;633374;633518	633287;633478;633819	-;-;-	1339	0
CRAC_006817-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	633874;634330;634446;634706	634281;634405;634667;634931	+;+;+;+	932	0
CRAC_006817-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	633874;634070;634209;634330;634446	634029;634167;634281;634405;634931	+;+;+;+;+	889	0
CRAC_006817-T3	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	633874;634070;634209;634330;634446;634706	634029;634167;634281;634405;634667;634931	+;+;+;+;+;+	851	0
CRAC_006818-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	635237;635346;635486;635609;636002	635302;635443;635558;635954;636096	+;+;+;+;+	678	0
CRAC_006819-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	636106;636650;637011;637520;637888;638029;638406;638584;638895;639088	636606;636964;637473;637846;637985;638360;638541;638852;639043;640135	-;-;-;-;-;-;-;-;-;-	3638	0
CRAC_006820-T1	scaffold_14;scaffold_14	640241;640404	640354;641090	-;-	801	17
CRAC_006821-T1	scaffold_14	641304	642572	-	1269	0
CRAC_006822-T1	scaffold_14;scaffold_14;scaffold_14	642740;643269;643595	643222;643553;643669	-;-;-	843	0
CRAC_006823-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	643749;644010;644275;644468;644853;645059;645199;645302	643967;644228;644421;644812;645017;645159;645253;646094	-;-;-;-;-;-;-;-	2044	0
CRAC_006824-T1	scaffold_14;scaffold_14	645571;645788	645745;646033	+;+	421	0
CRAC_006825-T1	scaffold_14	646249	647871	+	1623	0
CRAC_006826-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	646254;648369;648698;648814;649000	648319;648652;648770;648958;650281	-;-;-;-;-	3850	1
CRAC_006827-T1	scaffold_14	650572	652716	+	2145	0
