# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-a" "Caulerpa_lentillifera_v2.gtf" "-G" "/bigdata/stajichlab/shared/projects/Caulerpa/annotation/filtered_annotate/v2/v2/Caulerpa_lentillifera_v2.scaffolds.fa" "-T" "16" "-o" "results/STAR/Caulerpa_lentillifera_v2.featureCounts.tsv" "-g" "gene_id" "-J" "-F" "GTF" "results/STAR/Caulerpa_lentillifera_v2.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/STAR/Caulerpa_lentillifera_v2.Aligned.sortedByCoord.out.bam
CLENT_006264-T1	scaffold_14	143701	145922	+	2222	128
CLENT_006265-T1	scaffold_14	144575	145940	-	1366	2
CLENT_006266-T1	scaffold_14;scaffold_14;scaffold_14	146370;146614;146845	146493;146786;146943	+;+;+	396	5034
CLENT_006267-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	147235;147319;147438;147642	147285;147393;147599;147875	-;-;-;-	522	523
CLENT_006268-T1	scaffold_14;scaffold_14	148328;148582	148429;148764	+;+	285	1
CLENT_006269-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	151183;151484;151721;151908;152074;152257;152380;152557;152772;152921;153103	151442;151675;151859;152029;152214;152333;152512;152728;152865;153062;153210	-;-;-;-;-;-;-;-;-;-;-	1580	217
CLENT_006270-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	153211;153337;153443;153512;153673;153838	153290;153392;153464;153617;153786;154038	+;+;+;+;+;+	579	211
CLENT_006271-T1	scaffold_14;scaffold_14;scaffold_14	154202;154436;154654	154386;154592;155037	+;+;+	726	5139
CLENT_006272-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	155236;155568;155702;155896	155513;155649;155848;156009	-;-;-;-	621	1967
CLENT_006273-T1	scaffold_14	156067	158489	-	2423	3980
CLENT_006274-T1	scaffold_14;scaffold_14	159608;160116	160074;160245	+;+	597	698
CLENT_006275-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	160301;160471;160686;160917;161122;161374;161516	160421;160644;160873;161078;161313;161484;161728	-;-;-;-;-;-;-	1161	195
CLENT_006276-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	162663;162859;163729;164271;164449;164685;164852	162806;163145;164224;164397;164628;164796;164978	-;-;-;-;-;-;-	1473	10648
CLENT_006277-T1	scaffold_14;scaffold_14	166202;166578	166522;167612	-;-	1356	3065
CLENT_006278-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	167684;168057;168830;169153	168008;168775;169107;169300	-;-;-;-	1470	523
CLENT_006279-T1	scaffold_14;scaffold_14	169516;169958	169912;170382	+;+	822	17606
CLENT_006280-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	170796;170964;171136;171415;171685	170920;171086;171364;171642;172080	+;+;+;+;+	1101	8
CLENT_006281-T1	scaffold_14;scaffold_14	171414;176180	176143;176184	-;-	4735	1785
CLENT_006282-T1	scaffold_14;scaffold_14	176309;176616	176559;177777	+;+	1413	0
CLENT_006284-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	177927;181096;181241;181502;181702;181894;181999	181042;181196;181454;181650;181852;181948;182036	-;-;-;-;-;-;-	3824	247
CLENT_006283-T1	scaffold_14;scaffold_14	177927;178260	178212;179425	+;+	1452	0
CLENT_006285-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	182045;182191;182394;182592;182769;183749	182142;182350;182545;182727;183701;184883	+;+;+;+;+;+	2614	711
CLENT_006286-T1	scaffold_14;scaffold_14;scaffold_14	184798;185336;186578	185286;186532;186816	-;-;-	1925	3551
CLENT_006288-T1	scaffold_14;scaffold_14	186781;189353	187817;190747	+;+	2432	17271
CLENT_006287-T1	scaffold_14	186807	187523	-	717	0
CLENT_006290-T1	scaffold_14;scaffold_14	190764;193126	193076;193436	-;-	2624	848
CLENT_006289-T1	scaffold_14;scaffold_14	190792;191173	191111;191300	+;+	448	0
CLENT_006291-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	193630;194276;194402;194542;194649;194817;195227;195611;195756	194232;194354;194494;194602;194776;195182;195563;195713;195964	+;+;+;+;+;+;+;+;+	1979	0
CLENT_006291-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	193630;194049;194276;194402;194542;194649;194817;195227;195611;195756	194001;194232;194354;194494;194602;194776;195182;195563;195713;195964	+;+;+;+;+;+;+;+;+;+	1932	0
CLENT_006292-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	195965;196439;196710;197612;197882;198152;198357	196387;196642;197564;197836;198099;198305;198776	-;-;-;-;-;-;-	2499	0
CLENT_006292-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	195965;196439;197612;197882;198152;198357	196387;197564;197836;198099;198305;198776	-;-;-;-;-;-	2566	0
CLENT_006293-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	198925;199163;199263;199350;199472;199632	199121;199217;199296;199425;199586;199928	+;+;+;+;+;+	774	497
CLENT_006294-T1	scaffold_14;scaffold_14;scaffold_14	200071;200373;200544	200319;200502;200848	+;+;+	684	2659
CLENT_006295-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	201014;201123;201450;201594;201710;201841;202081	201067;201404;201543;201655;201788;202034;202212	+;+;+;+;+;+;+	897	1001
CLENT_006296-T1	scaffold_14;scaffold_14	202572;202869	202827;204154	+;+	1542	14936
CLENT_006298-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	204278;210002;210336;210536;210722;210909;211186	209947;210286;210476;210669;210851;211128;211325	-;-;-;-;-;-;-	6720	39923
CLENT_006297-T1	scaffold_14;scaffold_14	204278;204598	204551;205537	+;+	1214	0
CLENT_006299-T1	scaffold_14;scaffold_14;scaffold_14	211351;212791;213865	212748;213822;214278	+;+;+	2844	2602
CLENT_006300-T1	scaffold_14;scaffold_14	214391;215378	215100;216047	-;-	1380	11713
CLENT_006301-T1	scaffold_14	219067	220281	+	1215	0
CLENT_006302-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	224512;224718;225344;225512;225691	224672;225300;225462;225641;225928	-;-;-;-;-	1231	2093
CLENT_006303-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	225929;226463;226677;226903;227102	226416;226630;226854;227061;227210	-;-;-;-;-	1102	0
CLENT_006303-T2	scaffold_14;scaffold_14;scaffold_14	225929;226903;227102	226854;227061;227210	-;-;-	1194	0
CLENT_006303-T3	scaffold_14;scaffold_14;scaffold_14	225929;226463;226677	226416;226630;227210	-;-;-	1190	0
CLENT_006303-T4	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	225936;226241;226463;226677;226903;227102	226198;226416;226630;226854;227061;227198	-;-;-;-;-;-	1041	0
CLENT_006304-T1	scaffold_14;scaffold_14	227199;227852	227796;229636	+;+	2383	1932
CLENT_006305-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	230136;230200;230738;231323;231498;232266;232661;232969;233202	230152;230560;231280;231460;232226;232621;232927;233155;233513	+;+;+;+;+;+;+;+;+	2910	389
CLENT_006306-T1	scaffold_14	233472	234972	-	1501	1010
CLENT_006307-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	237885;237954;238019;238200;238341;238483;238626;238767;238906;239046;239188;239519;239616;239755;239894;240033;240172;240311;240450;240589;240728;240867;242211;242883;243029;243167;243308;243588;243728;243868;244008;244150;244291;244433;244575;244717;244862;245009	237907;237973;238158;238298;238439;238581;238724;238865;239004;239144;239286;239575;239714;239853;239992;240131;240270;240409;240548;240687;240826;240956;242840;242981;243127;243265;243406;243686;243826;243966;244106;244248;244389;244531;244673;244815;244960;245149	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4170	1771
CLENT_006308-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	245590;245727;246161;246396;246668;246845;246958	245676;246119;246352;246626;246802;246915;247030	-;-;-;-;-;-;-	1182	815
CLENT_006309-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	250469;251293;251398;251579;251719;251861;252002;252143;252282;252422;252564;252808;254637	251137;251353;251537;251677;251817;251959;252100;252241;252380;252520;252662;252906;255030	+;+;+;+;+;+;+;+;+;+;+;+;+	2155	466
CLENT_006309-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	250715;251293;251398;251579;251719;251861;252002;252143;252282;252422	251137;251353;251537;251677;251817;251959;252100;252241;252380;252662	+;+;+;+;+;+;+;+;+;+	1459	0
CLENT_006311-T1	scaffold_14;scaffold_14;scaffold_14	255171;256786;257555	256739;257508;257939	-;-;-	2677	1163
CLENT_006310-T1	scaffold_14;scaffold_14	255173;255610	255573;255955	+;+	747	0
CLENT_006312-T1	scaffold_14;scaffold_14	258149;261095	261053;261367	-;-	3178	2872
CLENT_006313-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	261421;261723;261965;262125;262392;262603;262789;262980;263104	261677;261920;262076;262196;262555;262744;262929;263060;263215	-;-;-;-;-;-;-;-;-	1279	129
CLENT_006313-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	261421;261723;261965;262125;262392;262603	261677;261920;262076;262196;262555;262784	-;-;-;-;-;-	985	0
CLENT_006314-T1	scaffold_14;scaffold_14	263397;263879	263827;264047	+;+	600	339
CLENT_006315-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	264192;264267;264392;265842;266133;266329;266819	264221;264348;265812;266086;266288;266778;266852	-;-;-;-;-;-;-	2418	687
CLENT_006316-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	267049;267127;267236;267378;267685;267894;268070	267078;267186;267331;267458;267835;268021;268210	+;+;+;+;+;+;+	687	699
CLENT_006317-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	269275;269533;269702;269905;270054;270359	269492;269652;269860;270005;270202;270369	+;+;+;+;+;+	758	4995
CLENT_006318-T1	scaffold_14	271010	271603	+	594	1317
CLENT_006319-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	271858;272209;272436;272579;272892;273163;273409;273675;273919;274100	272163;272393;272537;272842;273125;273351;273634;273874;274056;275671	+;+;+;+;+;+;+;+;+;+	3416	0
CLENT_006319-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	271858;271993;272209;272436;272579;272892;273163;273409;273675;273919;274100	271942;272163;272393;272537;272842;273125;273351;273634;273874;274056;275671	+;+;+;+;+;+;+;+;+;+;+	3366	0
CLENT_006320-T1	scaffold_14	274596	275660	-	1065	0
CLENT_006321-T1	scaffold_14	275716	277620	+	1905	724
CLENT_006322-T1	scaffold_14;scaffold_14	277930;279111	279057;279302	-;-	1320	7600
CLENT_006323-T1	scaffold_14;scaffold_14	279878;280200	280156;280331	-;-	411	0
CLENT_006324-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	280997;281144;281307;281479;281739;281828	281095;281257;281425;281686;281783;281907	-;-;-;-;-;-	665	28
CLENT_006325-T1	scaffold_14;scaffold_14	282034;283439	283393;284014	-;-	1936	859
CLENT_006326-T1	scaffold_14;scaffold_14	284262;284576	284534;284839	+;+	537	2373
CLENT_006327-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	285383;285619;285761;286073;286246;286287	285572;285708;286020;286188;286258;286346	+;+;+;+;+;+	729	2332
CLENT_006328-T1	scaffold_14;scaffold_14	286826;286982	286938;288266	+;+	1398	2849
CLENT_006329-T1	scaffold_14	289076	290032	-	957	591
CLENT_006330-T1	scaffold_14	290291	291355	-	1065	7747
CLENT_006331-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	291448;292338;292664;293266;293678;294299	292290;292619;293221;293634;293945;294483	+;+;+;+;+;+	2505	1
CLENT_006331-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	291448;292338;292664;293266;293678;294299	292290;292619;293221;293634;293892;294483	+;+;+;+;+;+	2452	0
CLENT_006332-T1	scaffold_14	294755	295648	+	894	1357
CLENT_006333-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	296403;297093;297284;297615;297838;298071;298262;298390	297043;297242;297560;297773;298006;298204;298343;299047	-;-;-;-;-;-;-;-	2270	5534
CLENT_006334-T1	scaffold_14;scaffold_14	299245;299937	299886;300116	+;+	822	0
CLENT_006334-T2	scaffold_14;scaffold_14	299245;299670	299620;300116	+;+	823	0
CLENT_006334-T3	scaffold_14;scaffold_14;scaffold_14;scaffold_14	299245;299670;299790;299937	299620;299740;299886;300116	+;+;+;+	724	0
CLENT_006335-T1	scaffold_14	300218	302240	+	2023	7584
CLENT_006336-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	304151;304250;304343;304528	304204;304292;304479;305010	+;+;+;+	717	843
CLENT_006337-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	304729;304935;305122;305438	304865;305030;305396;305582	-;-;-;-	653	2
CLENT_006338-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	306988;307442;307552;308155;308262	307398;307510;308112;308220;308885	+;+;+;+;+	1731	106
CLENT_006339-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	309413;309484;309607;309805;309877	309436;309561;309720;309834;310098	+;+;+;+;+	468	279
CLENT_006340-T1	scaffold_14;scaffold_14	311047;311112	311064;312707	-;-	1614	7
CLENT_006341-T1	scaffold_14;scaffold_14	312933;313335	313292;313340	-;-	366	18
CLENT_006342-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	314292;314678;314779;314887;315489;315601	314528;314737;314844;315447;315557;315777	-;-;-;-;-;-	1170	5322
CLENT_006343-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	316241;316908;317514;317621;318314;318421;318963	316357;317471;317579;318271;318379;318920;319210	+;+;+;+;+;+;+	2212	102
CLENT_006344-T1	scaffold_14;scaffold_14;scaffold_14	320688;321141;321248	321098;321206;321730	+;+;+	960	2
CLENT_006345-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	321859;322118;322252;322374;322586;322714;322837;322999;323107;323213;323350	322076;322212;322333;322417;322666;322791;322950;323064;323169;323293;323929	+;+;+;+;+;+;+;+;+;+;+	1502	574
CLENT_006346-T1	scaffold_14;scaffold_14;scaffold_14	324200;324656;324763	324613;324721;325080	+;+;+	798	2
CLENT_006347-T1	scaffold_14;scaffold_14;scaffold_14	326400;326854;326964	326810;326922;327398	+;+;+	915	0
CLENT_006348-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	328848;329301;329408;329792	329258;329366;329748;329870	+;+;+;+	897	4
CLENT_006349-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	331286;331742;331849;332131	331699;331807;332087;332221	+;+;+;+	810	625
CLENT_006350-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	333141;333412;333677;334008;334262;334556;334778;334942;335250;335345;335490	333365;333633;333960;334200;334512;334730;334896;335177;335302;335440;335540	-;-;-;-;-;-;-;-;-;-;-	1905	4861
CLENT_006351-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	335667;335949;336084;336227;336372;336550;336853;337542	335903;336044;336170;336331;336504;336808;337497;338621	+;+;+;+;+;+;+;+	2642	0
CLENT_006351-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	335667;335949;336084;336227;336372;336550;336674;337542	335903;336044;336170;336331;336504;336630;337497;338621	+;+;+;+;+;+;+;+	2643	0
CLENT_006351-T3	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	335667;335778;335949;336084;336227;336372;336550;336674;336853;337542	335737;335903;336044;336170;336331;336504;336630;336808;337497;338621	+;+;+;+;+;+;+;+;+;+	2559	0
CLENT_006352-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	338667;338864;339195;339304;339487;339672;339792	338815;339151;339263;339448;339630;339742;339961	+;+;+;+;+;+;+	1036	1227
CLENT_006353-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	339962;340410;340543;341007	340354;340499;340958;341464	+;+;+;+	1357	406
CLENT_006354-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	341441;342262;343400;343585	342191;343350;343536;343711	-;-;-;-	2104	0
CLENT_006354-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14	341441;341948;342262;343400	341886;342191;343350;343711	-;-;-;-	2091	0
CLENT_006355-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	343720;343849;344104;344289;345080	343805;344061;344244;345030;345551	+;+;+;+;+	1654	6149
CLENT_006356-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	345717;345898;346081;346295;346570;346712;347117;347289;347467;347738;348099;348288;348500	345819;346036;346238;346510;346662;347076;347239;347423;347683;348036;348242;348448;348809	+;+;+;+;+;+;+;+;+;+;+;+;+	2463	2
CLENT_006357-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	349014;349219;349835;350013;350191;350286;350371;350461;350549;350631;350727;350863	349171;349787;349967;350131;350232;350327;350412;350502;350590;350672;350810;351422	+;+;+;+;+;+;+;+;+;+;+;+	1875	112
CLENT_006358-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	351536;352114;352495;352648;352769;352954	352064;352200;352587;352725;352901;353200	-;-;-;-;-;-	1167	37314
CLENT_006359-T1	scaffold_14;scaffold_14;scaffold_14	353314;353494;353731	353442;353690;353884	-;-;-	480	625
CLENT_006360-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	354239;356050;356200;357195;357345	355987;356150;357151;357296;357449	-;-;-;-;-	3009	6159
CLENT_006361-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	357428;358456;358615;358758;358942;359185	358411;358565;358711;358887;359140;359430	+;+;+;+;+;+	1766	3657
CLENT_006362-T1	scaffold_14;scaffold_14;scaffold_14	359514;359768;360065	359727;359862;360449	+;+;+	694	190
CLENT_006363-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	360270;360572;360665;361326;362104	360334;360621;361282;361870;362196	-;-;-;-;-	1371	1584
CLENT_006364-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	362527;362736;363158;363369;363567;364174	362633;363102;363310;363518;363648;364346	+;+;+;+;+;+	1032	357
CLENT_006365-T1	scaffold_14;scaffold_14;scaffold_14	364769;365007;366414	364951;366080;366452	+;+;+	1296	219
CLENT_006366-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	366923;368563;369348;369990;370195;370335;370473	368284;369081;369960;370147;370293;370433;370586	+;+;+;+;+;+;+	2964	229
CLENT_006367-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	370820;370837;370978;371120;371261;371400;371543;371681;371823;371964;372107;372248;372392;372672;372813;372955;373096;373237;373378;374004;374144;374288;375378;375512;375653;375794	370825;370935;371076;371218;371359;371498;371641;371779;371921;372062;372205;372346;372490;372770;372911;373053;373194;373335;373476;374102;374242;374386;375467;375610;375751;375910	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2490	1715
CLENT_006368-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	378087;378365;378667;378863	378318;378628;378807;379203	-;-;-;-	978	8391
CLENT_006369-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	379194;379404;380436;380677;380796;380920	379355;380274;380633;380750;380868;381008	-;-;-;-;-;-	1467	0
CLENT_006369-T2	scaffold_14;scaffold_14;scaffold_14	379194;379404;380436	379355;380274;381008	-;-;-	1606	0
CLENT_006370-T1	scaffold_14;scaffold_14;scaffold_14	382994;383240;383470	383200;383431;383877	-;-;-	807	809
CLENT_006371-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	384059;384383;384520;384631;384747;385007;385284;385468;386043;386626;387843	384325;384470;384581;384700;384964;385230;385425;386004;386585;387794;388131	+;+;+;+;+;+;+;+;+;+;+	3609	4845
CLENT_006372-T1	scaffold_14;scaffold_14;scaffold_14	388278;388559;388852	388508;388803;388966	-;-;-	591	634
CLENT_006373-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	389128;389455;389765;389954;390078;390240;390711;391004;391347;391484;391627;392379;392545;392738;392917;393201	389409;389720;389905;390028;390189;390634;390963;391190;391444;391581;392275;392501;392691;392874;393157;393266	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3270	5187
CLENT_006374-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	393706;394081;394246;394459;394613;394982	394038;394194;394397;394566;394937;395801	+;+;+;+;+;+	1852	0
CLENT_006374-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	393716;394081;394459;394613;394982	394038;394397;394566;394937;395710	+;+;+;+;+	1802	0
CLENT_006375-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	395755;396104;396267;396468;396622;396978	396056;396217;396418;396575;396934;397416	+;+;+;+;+;+	1428	4005
CLENT_006376-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	398285;399093;399379;399560;400064	399033;399319;399516;400010;400139	-;-;-;-;-	1641	25538
CLENT_006378-T1	scaffold_14;scaffold_14;scaffold_14	401294;402963;403218	402919;403163;403548	-;-;-	2158	976
CLENT_006377-T1	scaffold_14;scaffold_14;scaffold_14	401467;401552;401690	401512;401638;402144	+;+;+	588	0
CLENT_006379-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	403582;403906;404152;404323;404626;404861	403852;404106;404256;404553;404816;405508	+;+;+;+;+;+	1647	6311
CLENT_006380-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14	405618;405819;405972;406129	405764;405926;406070;406233	-;-;-;-	459	1527
CLENT_006381-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	406296;406402;406536;406746;406925;407185;407438;407638;407902	406357;406489;406697;406866;407135;407395;407591;407826;408149	-;-;-;-;-;-;-;-;-	1446	297
CLENT_006382-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	408207;408349;408554;408748;409027	408301;408513;408701;408984;409544	+;+;+;+;+	1163	0
CLENT_006382-T2	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	408207;408349;408554;408748;409027;409285	408301;408513;408701;408984;409240;409544	+;+;+;+;+;+	1119	0
CLENT_006384-T1	scaffold_14;scaffold_14;scaffold_14	409808;410375;410709	410326;410656;410964	-;-;-	1057	1692
CLENT_006385-T1	scaffold_14	410946	411803	-	858	554
CLENT_006386-T1	scaffold_14;scaffold_14;scaffold_14	411866;412154;412332	412109;412279;412570	+;+;+	609	185
CLENT_006387-T1	scaffold_14;scaffold_14	415448;415662	415649;415666	-;-	207	697
CLENT_006388-T1	scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14;scaffold_14	415798;417208;417507;417706;418164;418478;418676;418897;419049;419371;419556;419744;419947;420342;420664;420854;421047;421250;421396;421671;422018;422162;422791;423000;423199;423682;424006;424059	416722;417450;417661;417850;418421;418632;418837;419004;419313;419517;419705;419901;420108;420606;420810;421000;421204;421351;421499;421856;422112;422736;422940;423152;423580;423960;424015;424062	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5790	0
